iter	Passed	Remaining
401	17665	26277
402	17708	26233
403	17748	26183
404	17792	26139
405	17834	26093
406	17887	26061
407	17929	26014
408	17971	25969
409	18013	25922
410	18055	25875
411	18106	25841
412	18147	25793
413	18188	25745
414	18228	25694
415	18283	25667
416	18367	25679
417	18418	25644
418	18468	25608
419	18513	25565
420	18592	25569
421	18639	25529
422	18690	25495
423	18748	25469
424	18791	25424
425	18831	25373
426	18872	25325
427	18926	25294
428	18969	25247
429	19012	25202
430	19054	25155
431	19094	25105
432	19143	25067
433	19182	25016
434	19223	24967
435	19261	24916
436	19304	24870
437	19343	24819
438	19389	24777
439	19432	24732
440	19472	24682
441	19518	24640
442	19556	24589
443	19601	24545
444	19653	24511
445	19690	24458
446	19746	24428
447	19785	24378
448	19826	24330
449	19868	24283
450	19911	24237
451	19955	24193
452	19994	24143
453	20043	24105
454	20080	24052
455	20121	24005
456	20159	23952
457	20198	23903
458	20261	23881
459	20304	23835
460	20352	23796
461	20394	23749
462	20436	23702
463	20473	23650
464	20514	23602
465	20555	23555
466	20596	23507
467	20638	23460
468	20685	23419
469	20736	23384
470	20797	23358
471	20840	23313
472	20882	23266
473	20920	23215
474	20966	23173
475	21013	23132
476	21076	23108
477	21119	23064
478	21164	23020
479	21207	22974
480	21249	22928
481	21302	22893
482	21357	22861
483	21400	22815
484	21444	22770
485	21486	22724
486	21524	22674
487	21566	22626
488	21607	22579
489	21651	22534
490	21712	22508
491	21753	22461
492	21811	22430
493	21854	22385
494	21901	22344
495	21951	22305
496	21988	22253
497	22028	22205
498	22066	22155
499	22112	22112
500	22163	22074
501	22208	22031
502	22248	21983
503	22290	21937
504	22341	21898
505	22383	21853
506	22427	21808
507	22467	21759
508	22505	21709
509	22546	21662
510	22589	21617
511	22634	21573
512	22683	21533
513	22722	21484
514	22762	21436
515	22802	21388
516	22845	21343
517	22887	21297
518	22933	21254
519	22986	21217
520	23054	21196
521	23097	21150
522	23145	21109
523	23188	21064
524	23229	21017
525	23268	20968
526	23320	20930
527	23362	20884
528	23414	20847
529	23448	20793
530	23489	20746
531	23526	20696
532	23564	20646
533	23605	20599
534	23643	20549
535	23684	20503
536	23729	20459
537	23768	20411
538	23817	20371
539	23862	20327
540	23904	20281
541	23948	20236
542	23989	20189
543	24039	20150
544	24081	20105
545	24126	20061
546	24168	20015
547	24209	19968
548	24251	19922
549	24292	19875
550	24334	19829
551	24375	19783
552	24418	19737
553	24487	19714
554	24531	19669
555	24569	19620
556	24612	19575
557	24652	19527
558	24711	19495
559	24753	19448
560	24800	19407
561	24842	19360
562	24882	19313
563	24926	19269
564	24969	19224
565	25013	19179
566	25054	19133
567	25095	19086
568	25136	19040
569	25176	18992
570	25219	18947
571	25261	18901
572	25317	18866
573	25358	18820
574	25412	18782
575	25450	18734
576	25492	18688
577	25533	18642
578	25577	18597
579	25628	18558
580	25674	18515
581	25713	18467
582	25768	18431
583	25810	18385
584	25860	18345
585	25903	18300
586	25944	18253
587	25984	18206
588	26027	18161
589	26073	18119
590	26115	18073
591	26156	18026
592	26197	17980
593	26252	17943
594	26295	17898
595	26340	17854
596	26381	17808
597	26422	17762
598	26464	17716
599	26502	17668
600	26544	17622
601	26592	17580
602	26636	17536
603	26683	17494
604	26740	17458
605	26788	17416
606	26826	17368
607	26868	17322
608	26913	17279
609	26956	17234
610	26997	17188
611	27069	17161
612	27109	17114
613	27149	17067
614	27187	17019
615	27241	16981
616	27284	16936
617	27349	16905
618	27391	16859
619	27434	16814
620	27473	16767
621	27516	16722
622	27556	16675
623	27597	16629
624	27637	16582
625	27679	16536
626	27718	16489
627	27760	16444
628	27816	16406
629	27857	16360
630	27900	16315
631	27942	16270
632	27986	16225
633	28024	16178
634	28067	16133
635	28104	16085
636	28142	16037
637	28190	15995
638	28231	15949
639	28274	15904
640	28315	15858
641	28356	15812
642	28394	15764
643	28439	15721
644	28490	15680
645	28530	15634
646	28573	15589
647	28619	15546
648	28660	15500
649	28708	15458
650	28750	15412
